id,id_imdb,titulo,estado,tipo,mi_valoracion,fecha_vista
522627,tt8367814,The Gentlemen: Los señores de la mafia,3,película,7.5,2022-07-29
76493,tt1645170,El dictador,3,película,6,2022-07-29
523781,tt8045906,Palabras en las paredes del baño,3,película,7,2022-07-29
84306,tt1872818,Amor y letras,3,película,5.5,2022-07-29
456929,tt6793580,Campeones,3,película,6,2022-07-29
18240,tt1041829,La proposición,1,película,,
200727,tt1638002,Los imprevistos del amor,3,película,5.5,2022-07-29
9029,tt1033643,Algo pasa en Las Vegas,3,película,6,2022-07-29
84199,tt1763303,The First Time,3,película,7.5,2022-07-29
12225,tt0460740,Cashback,3,película,6,2022-07-29
226857,tt2318092,Más allá del amor,3,película,8,2025-06-07
261102,tt3686272,El Club de los Incomprendidos,3,película,6,2022-07-29
629542,tt8115900,Los tipos malos,3,película,7,2022-07-29
796499,tt13024674,Ejército de los ladrones,3,película,6.5,2022-07-29
727745,tt12783454,Mi primer beso 3,3,película,6,2022-07-29
284054,tt1825683,Black Panther,3,película,6.5,2022-07-29
453395,tt9419884,Doctor Strange en el multiverso de la locura,3,película,6.5,2022-07-29
634649,tt10872600,Spider-Man: No Way Home,3,película,6.5,2022-07-29
106646,tt0993846,El lobo de Wall Street,3,película,6.5,2022-07-29
198663,tt1790864,El corredor del laberinto,3,película,7.5,2022-07-29
293660,tt1431045,Deadpool,3,película,6.5,2022-07-29
1930,tt0948470,The Amazing Spider-Man,3,película,6.5,2022-07-29
383498,tt5463162,Deadpool 2,3,película,6.5,2022-07-29
475557,tt7286456,Joker,3,película,5.5,2022-07-29
131631,tt1951265,Los Juegos del Hambre: Sinsajo - Parte 1,3,película,6,2022-07-29
559,tt0413300,Spider-Man 3,3,película,6.5,2022-07-29
554596,tt9019352,"No manches, Frida 2: paraíso destruido",3,película,6.5,2022-07-29
16996,tt0974661,17 otra vez,1,película,,
375794,tt5259966,"No manches, Frida",3,película,6.5,2022-07-29
8363,tt0829482,Supersalidos,3,película,6,2025-06-16
339403,tt3890160,Baby Driver,3,película,6,2022-07-29
585083,tt9848626,Hotel Transilvania: Transformanía,3,película,6.5,2022-07-29
249164,tt1355630,Si decido quedarme,3,película,6,2022-07-22
227719,tt2436386,Bienvenidos al ayer,3,película,7,2022-07-29
873127,tt15311262,Bajo el sol amalfitano,3,película,6.5,2022-07-29
565426,tt9354842,A todos los chicos: P.D. Todavía te quiero,3,película,6.5,2022-07-29
122906,tt2194499,Una cuestión de tiempo,3,película,5.5,2022-07-29
